X,Y,Z,r,absv
0.0301903,0,0.512061,0.0034,2.94192
0.0220058,0,0.373048,0.0032,0.642585
-0.0192161,0,0.354926,0.00345,0.153103
-0.0433781,0,0.35701,0.0034,0.652023
-0.038533,0,0.546418,0.00335,2.94192
-0.0318069,0,0.551708,0.00335,2.94192
-0.0198134,0,0.55051,0.00325,2.94192
0.0535404,0,0.445999,0.0033,2.94192
-0.0461567,0,0.548264,0.00335,2.94192
0.0231073,0,0.503498,0.0033,2.94192
-0.0703873,0,0.366443,0.00345,0.43986
0.0128864,0,0.532747,0.00345,2.94192
-0.0538624,0,0.376404,0.00315,0.641089
-0.00159848,0,0.35306,0.0032,0.190069
-0.0131297,0,0.352885,0.003,0.107112
-0.0535565,0,0.555129,0.00315,2.94192
-0.0614644,0,0.54413,0.0034,2.94192
0.00881515,0,0.507168,0.00315,2.94192
0.0845711,0,0.360587,0.0033,0.177811
0.0959949,0,0.370865,0.00315,0.818066
0.0803516,0,0.365743,0.0032,0.726824
-0.0655438,0,0.361361,0.00305,0.10253
0.0510695,0,0.369568,0.00335,0.2225
0.0566922,0,0.373566,0.003,1.32133
0.0342157,0,0.372419,0.00345,0.413602
0.0281318,0,0.369257,0.0034,0.875168
-0.053717,0,0.565586,0.0035,2.94192
-0.0621305,0,0.572717,0.0035,2.94192
-0.0138097,0,0.359313,0.0035,0.189065
-0.0320804,0,0.356774,0.0034,0.217789
-0.0256265,0,0.352348,0.00345,0.148548
0.0419975,0,0.368968,0.0033,0.506899
0.0346737,0,0.365668,0.00325,0.113353
0.0217926,0,0.366593,0.00325,0.159201
-0.0419012,0,0.554563,0.0034,2.94192
0.0103605,0,0.353567,0.0033,0.324741
0.00405838,0,0.3498,0.00335,0.355181
-0.0134102,0,0.34644,0.0035,0.0743794
0.00439061,0,0.356604,0.0034,0.327034
-0.0070389,0,0.349268,0.0033,0.188984
-0.0173524,0,0.529075,0.0033,2.94192
0.0423204,0,0.526967,0.0032,2.94192
0.0351866,0,0.535866,0.00345,2.94192
-0.0777666,0,0.355811,0.00345,0.671242
-0.0734331,0,0.360696,0.0031,0.277498
-0.0690077,0,0.356162,0.0032,0.091433
-0.0626704,0,0.355583,0.0032,0.295769
-0.00136574,0,0.345736,0.0034,0.234512
-0.0215463,0,0.342263,0.0032,0.241563
-0.00759522,0,0.342547,0.0035,0.224363
-0.0204431,0,0.348419,0.00305,0.41649
-0.0550266,0,0.355057,0.00345,0.0765867
-0.0598642,0,0.349891,0.0032,0.167354
-0.04873,0,0.353019,0.0032,0.198685
0.0104119,0,0.360276,0.00345,0.246048
0.0162625,0,0.356861,0.0034,0.696871
0.0710703,0,0.361564,0.00345,0.128019
0.0184881,0,0.542793,0.00345,2.94192
0.00834638,0,0.554312,0.0032,2.94192
0.00444555,0,0.547943,0.00345,2.94192
0.0170749,0,0.55083,0.0035,2.94192
0.0420599,0,0.519725,0.00335,2.94192
0.0401441,0,0.50316,0.00305,2.94192
0.0389495,0,0.510283,0.00345,2.94192
0.030282,0,0.503005,0.0031,2.94192
-0.0787685,0,0.594202,0.003,2.94192
-0.0768665,0,0.585183,0.0033,2.94192
-0.086963,0,0.597474,0.003,2.94192
0.0696611,0,0.488962,0.0032,2.94192
0.0626568,0,0.494037,0.00315,2.94192
-0.0273135,0,0.345654,0.0035,0.172542
0.0471143,0,0.363524,0.00335,0.805426
0.0593538,0,0.367067,0.00325,1.15145
-0.0430123,0,0.350089,0.00325,0.0173349
-0.0377189,0,0.353541,0.0031,0.143576
-0.0477491,0,0.345297,0.00315,0.102362
-0.0534634,0,0.348432,0.0034,0.057675
-0.0663264,0,0.350531,0.003,0.150257
-0.0637625,0,0.345067,0.00305,0.117077
-0.0136475,0,0.554596,0.0034,2.94192
-0.0666961,0,0.582479,0.0033,2.94192
0.0127481,0,0.494722,0.00315,2.94192
0.0388305,0,0.493364,0.00305,2.94192
0.0506885,0,0.488138,0.00315,2.94192
0.0628562,0,0.480311,0.00315,2.94192
-0.022959,0,0.559641,0.00345,2.94192
-0.014521,0,0.562089,0.0031,2.94192
-0.00659649,0,0.5528,0.00315,2.94192
-0.0644334,0,0.592161,0.0033,2.94192
-0.0719129,0,0.597787,0.0031,2.94192
0.0264317,0,0.552002,0.00345,2.94192
0.0115842,0,0.563571,0.003,2.94192
0.0187015,0,0.558964,0.00315,2.94192
0.0264212,0,0.559286,0.003,2.94192
0.0442138,0,0.534593,0.00315,2.94192
-0.0728717,0,0.338331,0.00325,0.154183
-0.0704674,0,0.344768,0.0035,0.150915
-0.0598432,0,0.340419,0.00305,0.1539
0.0293039,0,0.542144,0.003,2.94192
0.0403977,0,0.362675,0.0032,0.18264
-0.0317981,0,0.350398,0.00305,0.348944
-0.0354419,0,0.345615,0.003,0.215989
-0.0770345,0,0.60337,0.00345,2.94192
-0.0852808,0,0.604507,0.0034,2.94192
0.0538869,0,0.363865,0.00305,0.173704
0.0340129,0,0.359177,0.0033,0.12349
-0.0723537,0,0.35098,0.003,0.149218
-0.0782438,0,0.349275,0.00315,0.226903
-0.0899912,0,0.344678,0.00325,0.412402
0.016247,0,0.376,0.0033,0.95554
0.0582601,0,0.359716,0.003,0.412313
0.0644112,0,0.361008,0.00325,0.141391
0.054989,0,0.531492,0.00335,2.94192
0.0519073,0,0.520121,0.0034,2.94192
0.034266,0,0.547405,0.00345,2.94192
0.0101584,0,0.346925,0.00335,0.215781
0.0111247,0,0.340615,0.00305,0.0470918
-0.00165071,0,0.359729,0.0034,0.125881
-0.0273887,0,0.339136,0.00305,0.172608
-0.0414777,0,0.343705,0.00335,0.167205
0.0280843,0,0.362464,0.0034,0.219053
0.0101829,0,0.367022,0.00335,1.25729
0.0217964,0,0.360267,0.0031,0.247637
0.0164184,0,0.363317,0.00305,0.288709
-0.0417422,0,0.337099,0.0033,0.187633
-0.0966506,0,0.345016,0.0033,0.478457
-0.0831502,0,0.345334,0.00315,0.261565
0.00407657,0,0.342102,0.0031,0.722591
-0.0225523,0,0.335373,0.0031,0.0853056
-0.00176046,0,0.338957,0.0034,0.326035
-0.0155483,0,0.340216,0.00315,0.319083
0.00882033,0,0.473731,0.0031,2.94192
0.0782496,0,0.48719,0.00325,2.94192
-0.053729,0,0.341817,0.00325,0.116482
-0.047962,0,0.338976,0.0032,0.181861
-0.0494551,0,0.332473,0.00345,0.0844187
-0.055595,0,0.335434,0.0034,0.166829
-0.0369672,0,0.332617,0.0032,0.0772892
0.0564499,0,0.500617,0.00305,2.94192
0.0467032,0,0.494648,0.003,2.94192
0.0513533,0,0.35815,0.00315,0.431345
0.034373,0,0.352568,0.0034,0.27272
